boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0107400040411.bu,o00407-0107400040411.bu,162,46,5,4,UE2010
o00407-0153800080243.bu,o00407-0153800080243.bu,99,33,0,1,UE2020
o00407-0105800060094.bu,o00407-0105800060094.bu,175,52,1,2,UE2015
o00407-0139200090385.bu,o00407-0139200090385.bu,171,61,1,2,UE2020
o00407-0109000040094.bu,o00407-0109000040094.bu,82,37,1,4,UE2010
o00407-0147300050026.bu,o00407-0147300050026.bu,122,53,5,5,UE2015
o00407-0139200010438.bu,o00407-0139200010438.bu,168,57,1,2,UE2020
o00407-0107400040157.bu,o00407-0107400040157.bu,151,64,1,2,UE2009
o00407-0147300050127.bu,o00407-0147300050127.bu,84,68,1,1,UE2015
o00407-0107400040400.bu,o00407-0107400040400.bu,177,34,1,2,UE2010
o00407-0107400040213.bu,o00407-0107400040213.bu,174,43,2,3,UE2010
o00407-0145700030108.bu,o00407-0145700030108.bu,147,52,0,1,UE2013
o00407-0139200090300.bu,o00407-0139200090300.bu,178,82,3,3,UE2020
o00407-0107400040137.bu,o00407-0107400040137.bu,90,11,0,2,UE2010
o00407-0107400040240.bu,o00407-0107400040240.bu,161,45,3,3,UE2009
o00407-0102300010609.bu,o00407-0102300010609.bu,128,40,0,3,UE2015
o00407-0139200010762.bu,o00407-0139200010762.bu,81,40,1,3,UE2020
o00407-0107400040016.bu,o00407-0107400040016.bu,138,39,2,1,UE2010
o00407-0139200010554.bu,o00407-0139200010554.bu,171,57,4,5,UE2020
o00407-0139200090342.bu,o00407-0139200090342.bu,211,53,5,6,UE2020
o00407-0139200090035.bu,o00407-0139200090035.bu,191,55,6,7,UE2020
o00407-0139200010562.bu,o00407-0139200010562.bu,177,55,4,4,UE2020
o00407-0149000020051.bu,o00407-0149000020051.bu,79,73,3,1,UE2009
o00407-0139200090262.bu,o00407-0139200090262.bu,182,59,1,2,UE2009
o00407-0147300050001.bu,o00407-0147300050001.bu,103,62,2,3,UE2015
o00407-0139200010087.bu,o00407-0139200010087.bu,160,39,1,6,UE2020
o00407-0147300050008.bu,o00407-0147300050008.bu,93,75,2,2,UE2015
o00407-0139200010541.bu,o00407-0139200010541.bu,169,58,2,3,UE2020
o00407-0107400040185.bu,o00407-0107400040185.bu,143,39,2,4,UE2010
o00407-0102300010625.bu,o00407-0102300010625.bu,137,38,1,5,UE2015
o00407-0139200090129.bu,o00407-0139200090129.bu,200,80,6,5,UE2020
o00407-0107400040362.bu,o00407-0107400040362.bu,164,41,1,3,UE2010
o00407-0139200090322.bu,o00407-0139200090322.bu,142,89,6,4,UE2020
o00407-0108200040299.bu,o00407-0108200040299.bu,117,12,1,1,UE2010
o00407-0102300010617.bu,o00407-0102300010617.bu,170,50,0,1,UE2015
o00407-0139200090072.bu,o00407-0139200090072.bu,130,54,5,1,UE2020
o00407-0139200010713.bu,o00407-0139200010713.bu,189,47,4,6,UE2020
o00407-0107400040138.bu,o00407-0107400040138.bu,149,22,2,2,UE2010
o00407-0151100080075.bu,o00407-0151100080075.bu,114,35,2,3,UE2009
o00407-0151100080081.bu,o00407-0151100080081.bu,103,43,2,2,UE2009
o00407-0153800080134.bu,o00407-0153800080134.bu,133,56,2,4,UE2020
o00407-0153800080226.bu,o00407-0153800080226.bu,112,37,1,4,UE2020
o00407-0107400040406.bu,o00407-0107400040406.bu,174,23,3,2,UE2010
o00407-0107400040305.bu,o00407-0107400040305.bu,150,63,0,2,UE2010
o00407-0111200060040.bu,o00407-0111200060040.bu,156,50,2,8,UE2015
o00407-0104000040375.bu,o00407-0104000040375.bu,95,39,1,1,UE2010
o00407-0102300010612.bu,o00407-0102300010612.bu,155,30,1,1,UE2015
o00407-0139200090239.bu,o00407-0139200090239.bu,195,48,2,3,UE2020
o00407-0109000040181.bu,o00407-0109000040181.bu,43,94,1,5,UE2010
o00407-0113900070063.bu,o00407-0113900070063.bu,68,144,0,2,UE2011
o00407-0151100080202.bu,o00407-0151100080202.bu,140,35,0,1,UE2009
o00407-0145700030093.bu,o00407-0145700030093.bu,161,27,0,1,UE2013
o00407-0139200090351.bu,o00407-0139200090351.bu,177,56,3,1,UE2020
o00407-0110400050067.bu,o00407-0110400050067.bu,59,108,2,2,UE2015
o00407-0107400040227.bu,o00407-0107400040227.bu,114,49,2,2,UE2010
o00407-0139200010835.bu,o00407-0139200010835.bu,96,51,7,0,UE2020
o00407-0106600040361.bu,o00407-0106600040361.bu,48,62,5,2,UE2010
o00407-0111200060050.bu,o00407-0111200060050.bu,170,41,1,2,UE2015
o00407-0139200010038.bu,o00407-0139200010038.bu,163,72,2,9,UE2020
o00407-0113900070053.bu,o00407-0113900070053.bu,56,112,3,1,UE2011
o00407-0107400040386.bu,o00407-0107400040386.bu,134,26,1,4,UE2010
o00407-0107400040271.bu,o00407-0107400040271.bu,156,64,3,1,UE2010
o00407-0101500020087.bu,o00407-0101500020087.bu,112,34,0,2,UE2009
o00407-0139200010785.bu,o00407-0139200010785.bu,168,71,3,4,UE2020
o00407-0149000020053.bu,o00407-0149000020053.bu,112,72,0,0,UE2009
o00407-0157000060090.bu,o00407-0157000060090.bu,134,74,2,1,UE2015
o00407-0149000020012.bu,o00407-0149000020012.bu,110,94,1,3,UE2009
o00407-0149000020041.bu,o00407-0149000020041.bu,102,70,2,0,UE2009
o00407-0108200040197.bu,o00407-0108200040197.bu,91,47,4,1,UE2010
o00407-0113900070072.bu,o00407-0113900070072.bu,88,127,1,7,UE2011
o00407-0113900070041.bu,o00407-0113900070041.bu,110,89,3,4,UE2011
o00407-0109000040103.bu,o00407-0109000040103.bu,133,39,0,0,UE2010
o00407-0108200040349.bu,o00407-0108200040349.bu,119,30,0,0,UE2010
o00407-0139200010085.bu,o00407-0139200010085.bu,172,49,0,1,UE2020
o00407-0139200090317.bu,o00407-0139200090317.bu,152,70,3,5,UE2020
o00407-0139200090211.bu,o00407-0139200090211.bu,199,59,4,5,UE2020
o00407-0113900070084.bu,o00407-0113900070084.bu,91,87,2,4,UE2011
o00407-0139200090019.bu,o00407-0139200090019.bu,185,70,3,4,UE2020
o00407-0139200010349.bu,o00407-0139200010349.bu,144,52,1,5,UE2020
o00407-0149000020027.bu,o00407-0149000020027.bu,98,70,3,4,UE2009
o00407-0106600040146.bu,o00407-0106600040146.bu,96,88,1,4,UE2010
o00407-0139200090058.bu,o00407-0139200090058.bu,163,56,1,4,UE2020
o00407-0139200010478.bu,o00407-0139200010478.bu,178,47,5,4,UE2020
o00407-0145700030078.bu,o00407-0145700030078.bu,145,60,1,5,UE2013
o00407-0139200090255.bu,o00407-0139200090255.bu,207,73,4,6,UE2020
o00407-0155400030052.bu,o00407-0155400030052.bu,113,79,1,6,UE2013
o00407-0100700090120.bu,o00407-0100700090120.bu,170,59,4,4,UE2013
o00407-0109000040364.bu,o00407-0109000040364.bu,145,24,4,5,UE2010
o00407-0139200090274.bu,o00407-0139200090274.bu,201,54,3,6,UE2020
o00407-0110400050066.bu,o00407-0110400050066.bu,15,215,0,11,UE2015
o00407-0139200090391.bu,o00407-0139200090391.bu,179,83,13,2,UE2020
o00407-0107400040394.bu,o00407-0107400040394.bu,155,35,3,0,UE2010
o00407-0139200010526.bu,o00407-0139200010526.bu,141,53,4,5,UE2020
o00407-0107400040113.bu,o00407-0107400040113.bu,95,22,3,6,UE2010
o00407-0153800080035.bu,o00407-0153800080035.bu,122,45,1,0,UE2020
o00407-0107400040266.bu,o00407-0107400040266.bu,94,87,2,6,UE2010
o00407-0139200090034.bu,o00407-0139200090034.bu,139,47,3,6,UE2020
o00407-0109000040216.bu,o00407-0109000040216.bu,151,58,2,4,UE2010
o00407-0112000080072.bu,o00407-0112000080072.bu,116,42,0,3,UE2009
o00407-0105800060128.bu,o00407-0105800060128.bu,173,18,0,0,UE2015
o00407-0151100080015.bu,o00407-0151100080015.bu,127,51,2,4,UE2009
o00407-0100700090442.bu,o00407-0100700090442.bu,63,42,0,1,UE2013
o00407-0149000020032.bu,o00407-0149000020032.bu,95,98,2,11,UE2009
o00407-0147300050134.bu,o00407-0147300050134.bu,58,24,0,0,UE2015
o00407-0139200090309.bu,o00407-0139200090309.bu,79,11,1,0,UE2015
o00407-0149000020034.bu,o00407-0149000020034.bu,40,57,0,4,UE2009
o00407-0139200090284.bu,o00407-0139200090284.bu,176,55,5,1,UE2020
o00407-0139200090029.bu,o00407-0139200090029.bu,161,44,3,10,UE2020
o00407-0111200060147.bu,o00407-0111200060147.bu,162,49,4,2,UE2015
o00407-0139200010632.bu,o00407-0139200010632.bu,167,73,3,6,UE2020
o00407-0139200010015.bu,o00407-0139200010015.bu,125,66,1,6,UE2020
o00407-0108200040148.bu,o00407-0108200040148.bu,141,26,1,2,UE2010
o00407-0106600040447.bu,o00407-0106600040447.bu,52,85,4,2,UE2010
o00407-0107400040293.bu,o00407-0107400040293.bu,166,43,0,4,UE2010
o00407-0139200010823.bu,o00407-0139200010823.bu,178,57,6,1,UE2020
o00407-0109000040265.bu,o00407-0109000040265.bu,163,61,1,1,UE2010
o00407-0139200090151.bu,o00407-0139200090151.bu,229,54,0,6,UE2020
o00407-0139200090173.bu,o00407-0139200090173.bu,185,48,4,6,UE2020
o00407-0139200010440.bu,o00407-0139200010440.bu,179,48,2,3,UE2020
o00407-0139200090306.bu,o00407-0139200090306.bu,153,69,10,4,UE2020
o00407-0139200010814.bu,o00407-0139200010814.bu,144,76,4,5,UE2020
o00407-0104000040230.bu,o00407-0104000040230.bu,29,70,1,6,UE2010
o00407-0139200010026.bu,o00407-0139200010026.bu,107,36,0,3,UE2020
o00407-0103100030076.bu,o00407-0103100030076.bu,117,85,3,5,UE2013
o00407-0107400040112.bu,o00407-0107400040112.bu,100,29,3,3,UE2010
o00407-0139200090197.bu,o00407-0139200090197.bu,214,59,1,6,UE2020
o00407-0107400040393.bu,o00407-0107400040393.bu,146,43,1,9,UE2010
o00407-0153800080078.bu,o00407-0153800080078.bu,164,41,1,2,UE2020
o00407-0107400040278.bu,o00407-0107400040278.bu,124,38,2,0,UE2010
o00407-0139200010572.bu,o00407-0139200010572.bu,191,89,6,4,UE2020
o00407-0139200090295.bu,o00407-0139200090295.bu,168,72,3,8,UE2020
o00407-0111200060068.bu,o00407-0111200060068.bu,132,70,3,3,UE2015
o00407-0139200010299.bu,o00407-0139200010299.bu,173,74,1,2,UE2020
o00407-0113900070047.bu,o00407-0113900070047.bu,28,68,0,1,UE2009
o00407-0105800060100.bu,o00407-0105800060100.bu,105,52,2,1,UE2015
o00407-0101500020107.bu,o00407-0101500020107.bu,52,19,3,0,UE2009
o00407-0139200090259.bu,o00407-0139200090259.bu,118,51,2,3,UE2009
o00407-0153800080227.bu,o00407-0153800080227.bu,116,38,3,3,UE2020
o00407-0139200090191.bu,o00407-0139200090191.bu,135,57,3,8,UE2009
o00407-0112000080083.bu,o00407-0112000080083.bu,125,28,0,0,UE2009
o00407-0139200010691.bu,o00407-0139200010691.bu,225,43,3,2,UE2020
o00407-0106600040314.bu,o00407-0106600040314.bu,13,60,2,1,UE2010
o00407-0107400040219.bu,o00407-0107400040219.bu,151,43,2,3,UE2010
o00407-0147300050010.bu,o00407-0147300050010.bu,112,65,0,2,UE2015
o00407-0103100030088.bu,o00407-0103100030088.bu,110,83,2,5,UE2013
o00407-0145700030109.bu,o00407-0145700030109.bu,130,14,0,1,UE2013
o00407-0107400040405.bu,o00407-0107400040405.bu,159,43,1,0,UE2010
o00407-0111200060145.bu,o00407-0111200060145.bu,69,16,1,0,UE2015
o00407-0100700090412.bu,o00407-0100700090412.bu,131,46,6,0,UE2013
o00407-0107400040350.bu,o00407-0107400040350.bu,165,39,6,3,UE2010
o00407-0139200010698.bu,o00407-0139200010698.bu,184,70,5,5,UE2020
o00407-0139200010738.bu,o00407-0139200010738.bu,197,70,4,2,UE2020
o00407-0139200090416.bu,o00407-0139200090416.bu,92,26,1,1,UE2009
o00407-0106600040144.bu,o00407-0106600040144.bu,102,94,7,0,UE2010
o00407-0107400040409.bu,o00407-0107400040409.bu,151,43,2,3,UE2010
o00407-0107400040395.bu,o00407-0107400040395.bu,112,35,3,2,UE2010
o00407-0109000040096.bu,o00407-0109000040096.bu,169,42,0,1,UE2010
o00407-0106600040313.bu,o00407-0106600040313.bu,14,53,0,4,UE2010
o00407-0110400050131.bu,o00407-0110400050131.bu,68,113,1,2,UE2015
o00407-0139200090020.bu,o00407-0139200090020.bu,215,83,1,11,UE2020
o00407-0107400040275.bu,o00407-0107400040275.bu,133,82,1,5,UE2010
o00407-0139200010507.bu,o00407-0139200010507.bu,131,54,3,2,UE2020
o00407-0139200010537.bu,o00407-0139200010537.bu,94,32,1,1,UE2020
o00407-0147300050054.bu,o00407-0147300050054.bu,49,85,1,5,UE2015
o00407-0113900070004.bu,o00407-0113900070004.bu,92,94,2,4,UE2011
o00407-0139200010545.bu,o00407-0139200010545.bu,152,78,4,7,UE2020
o00407-0105800060131.bu,o00407-0105800060131.bu,165,85,3,2,UE2015
o00407-0139200010818.bu,o00407-0139200010818.bu,72,38,1,2,UE2020
o00407-0104000040143.bu,o00407-0104000040143.bu,154,46,1,3,UE2010
o00407-0101500020089.bu,o00407-0101500020089.bu,89,39,1,0,UE2009
o00407-0145700030074.bu,o00407-0145700030074.bu,145,39,0,1,UE2013
o00407-0145700030006.bu,o00407-0145700030006.bu,144,66,0,3,UE2013
o00407-0113900070046.bu,o00407-0113900070046.bu,40,48,0,4,UE2011
o00407-0151100080112.bu,o00407-0151100080112.bu,118,45,0,1,UE2009
o00407-0110400050052.bu,o00407-0110400050052.bu,89,79,2,5,UE2015
o00407-0139200010714.bu,o00407-0139200010714.bu,93,50,4,5,UE2020
o00407-0105800060075.bu,o00407-0105800060075.bu,113,65,3,4,UE2015
o00407-0101500020095.bu,o00407-0101500020095.bu,133,34,1,0,UE2009
o00407-0147300050115.bu,o00407-0147300050115.bu,38,57,3,3,UE2015
o00407-0102300010583.bu,o00407-0102300010583.bu,169,51,1,2,UE2015
