boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9893000430277.bu,o00407-9893000430277.bu,147,138,3,0,UE2013
o00407-8999000250284.bu,o00407-8999000250284.bu,161,27,3,0,UE2009
o00407-9153700030183.bu,o00407-9153700030183.bu,65,60,1,2,UE2020
o00407-9167700200664.bu,o00407-9167700200664.bu,142,144,0,0,UE2020
o00407-9080800440248.bu,o00407-9080800440248.bu,179,80,2,2,UE2015
o00407-9027100110100.bu,o00407-9027100110100.bu,187,65,2,1,UE2015
o00407-9035200090532.bu,o00407-9035200090532.bu,198,98,3,3,UE2010
o00407-9185500190144.bu,o00407-9185500190144.bu,193,32,3,2,UE2010
o00407-8996000610077.bu,o00407-8996000610077.bu,93,67,0,1,UE2015
o00407-9077800090478.bu,o00407-9077800090478.bu,97,54,2,1,UE2010
o00407-9831000350096.bu,o00407-9831000350096.bu,145,74,1,2,UE2015
o00407-9161800020030.bu,o00407-9161800020030.bu,91,91,1,4,UE2020
o00407-8985000220472.bu,o00407-8985000220472.bu,262,46,0,1,UE2010
o00407-9151000460030.bu,o00407-9151000460030.bu,168,111,4,3,UE2020
o00407-9052200320103.bu,o00407-9052200320103.bu,217,50,2,3,UE2015
o00407-9167700200495.bu,o00407-9167700200495.bu,104,78,1,1,UE2020
o00407-9167700200662.bu,o00407-9167700200662.bu,106,151,0,5,UE2020
o00407-9893000430084.bu,o00407-9893000430084.bu,227,91,1,1,UE2013
o00407-9067000550031.bu,o00407-9067000550031.bu,154,138,1,5,UE2020
o00407-8987700240267.bu,o00407-8987700240267.bu,172,66,2,0,UE2009
o00407-9076000240211.bu,o00407-9076000240211.bu,125,110,6,4,UE2009
o00407-8985000220115.bu,o00407-8985000220115.bu,208,79,2,2,UE2010
o00407-8978800110151.bu,o00407-8978800110151.bu,59,66,1,0,UE2015
o00407-9167700200439.bu,o00407-9167700200439.bu,94,128,3,1,UE2020
o00407-8993100520169.bu,o00407-8993100520169.bu,131,40,3,5,UE2010
o00407-8978800110076.bu,o00407-8978800110076.bu,111,102,1,2,UE2015
o00407-9151000460056.bu,o00407-9151000460056.bu,150,83,2,7,UE2020
o00407-9067000510171.bu,o00407-9067000510171.bu,125,83,2,3,UE2020
o00407-9185500190190.bu,o00407-9185500190190.bu,119,94,0,1,UE2010
o00407-9819100270036.bu,o00407-9819100270036.bu,257,44,1,5,UE2009
o00407-9905800440235.bu,o00407-9905800440235.bu,196,41,1,1,UE2015
o00407-9035200090004.bu,o00407-9035200090004.bu,155,88,1,2,UE2010
o00407-9167700200490.bu,o00407-9167700200490.bu,165,89,5,7,UE2020
o00407-9197900160069.bu,o00407-9197900160069.bu,55,81,0,4,UE2015
o00407-9167700200456.bu,o00407-9167700200456.bu,137,115,1,2,UE2020
o00407-9167700490339.bu,o00407-9167700490339.bu,204,72,4,2,UE2020
o00407-9197900160076.bu,o00407-9197900160076.bu,70,78,1,2,UE2015
o00407-9883300240272.bu,o00407-9883300240272.bu,151,105,2,4,UE2009
o00407-9067000510307.bu,o00407-9067000510307.bu,163,89,1,1,UE2020
o00407-9067000390578.bu,o00407-9067000390578.bu,132,81,5,4,UE2020
o00407-8979600230028.bu,o00407-8979600230028.bu,222,32,4,2,UE2015
o00407-9067000010994.bu,o00407-9067000010994.bu,213,150,3,4,UE2020
o00407-9193600310133.bu,o00407-9193600310133.bu,132,36,1,0,UE2009
o00407-8985000220538.bu,o00407-8985000220538.bu,266,57,1,2,UE2010
o00407-9893000430314.bu,o00407-9893000430314.bu,236,93,7,2,UE2013
o00407-9129400040055.bu,o00407-9129400040055.bu,158,144,3,3,UE2020
o00407-9881700330001.bu,o00407-9881700330001.bu,183,104,3,6,UE2015
o00407-9056500030193.bu,o00407-9056500030193.bu,94,85,2,3,UE2020
o00407-8985000220440.bu,o00407-8985000220440.bu,199,77,3,2,UE2010
o00407-9067000010508.bu,o00407-9067000010508.bu,226,77,3,7,UE2020
o00407-9897300360087.bu,o00407-9897300360087.bu,180,80,3,2,UE2009
o00407-9067000550192.bu,o00407-9067000550192.bu,196,124,4,13,UE2020
o00407-9012300290017.bu,o00407-9012300290017.bu,142,43,2,0,UE2009
o00407-8999000250224.bu,o00407-8999000250224.bu,146,55,0,4,UE2009
o00407-9005000080098.bu,o00407-9005000080098.bu,137,58,1,3,UE2020
o00407-9889200400079.bu,o00407-9889200400079.bu,218,43,3,4,UE2020
o00407-9035200090434.bu,o00407-9035200090434.bu,55,25,1,0,UE2010
o00407-9048400600083.bu,o00407-9048400600083.bu,234,70,3,3,UE2015
o00407-9067000010877.bu,o00407-9067000010877.bu,190,117,2,5,UE2020
o00407-9035200090019.bu,o00407-9035200090019.bu,145,62,2,2,UE2010
o00407-9139100470196.bu,o00407-9139100470196.bu,69,94,2,5,UE2020
o00407-9046800560102.bu,o00407-9046800560102.bu,193,63,0,2,UE2010
o00407-9067000550300.bu,o00407-9067000550300.bu,142,125,3,3,UE2020
o00407-9028000280198.bu,o00407-9028000280198.bu,191,54,4,2,UE2009
o00407-9072700420117.bu,o00407-9072700420117.bu,196,75,1,2,UE2015
o00407-9035200090015.bu,o00407-9035200090015.bu,186,66,5,0,UE2010
o00407-9151000460371.bu,o00407-9151000460371.bu,147,57,3,3,UE2020
o00407-8979600230305.bu,o00407-8979600230305.bu,213,63,2,1,UE2015
o00407-9047600060182.bu,o00407-9047600060182.bu,77,120,1,3,UE2011
o00407-9167700490261.bu,o00407-9167700490261.bu,152,129,3,7,UE2020
o00407-9155300380233.bu,o00407-9155300380233.bu,59,99,0,1,UE2011
o00407-9080800440256.bu,o00407-9080800440256.bu,185,61,3,4,UE2015
o00407-9067000390395.bu,o00407-9067000390395.bu,176,90,2,9,UE2020
o00407-9035200090001.bu,o00407-9035200090001.bu,164,66,2,2,UE2010
o00407-9032800170046.bu,o00407-9032800170046.bu,143,109,2,1,UE2011
