boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-5623500480286.bu,o00407-5623500480286.bu,160,85,2,8,UE2020
o00407-5610300120069.bu,o00407-5610300120069.bu,81,65,6,9,UE2013
o00407-5625100341084.bu,o00407-5625100341084.bu,72,63,3,7,UE2009
o00407-5625100540546.bu,o00407-5625100540546.bu,145,126,2,4,UE2010
o00407-5663400250468.bu,o00407-5663400250468.bu,211,82,4,7,UE2009
o00407-5651000350059.bu,o00407-5651000350059.bu,123,69,6,8,UE2020
o00407-5699500590181.bu,o00407-5699500590181.bu,164,106,5,7,UE2010
o00407-5793200090126.bu,o00407-5793200090126.bu,224,110,8,6,UE2015
o00407-5613800020021.bu,o00407-5613800020021.bu,154,102,2,9,UE2020
o00407-5637500150154.bu,o00407-5637500150154.bu,104,69,3,5,UE2015
o00407-5703700320905.bu,o00407-5703700320905.bu,157,84,1,5,UE2020
o00407-5612000430175.bu,o00407-5612000430175.bu,131,74,7,7,UE2020
o00407-5689800090042.bu,o00407-5689800090042.bu,100,72,2,6,UE2015
o00407-5705300520635.bu,o00407-5705300520635.bu,171,121,7,9,UE2020
o00407-5699500530122.bu,o00407-5699500530122.bu,156,91,5,9,UE2009
o00407-5617000230164.bu,o00407-5617000230164.bu,138,91,3,10,UE2013
o00407-5797500400056.bu,o00407-5797500400056.bu,227,54,5,8,UE2010
o00407-5699500590140.bu,o00407-5699500590140.bu,127,114,1,6,UE2010
o00407-5629400060556.bu,o00407-5629400060556.bu,170,111,6,8,UE2015
o00407-5623500480323.bu,o00407-5623500480323.bu,2,13,0,0,UE2020
o00407-5611100200215.bu,o00407-5611100200215.bu,146,102,5,14,UE2010
o00407-5705300010573.bu,o00407-5705300010573.bu,157,160,9,17,UE2020
o00407-5625100340189.bu,o00407-5625100340189.bu,142,116,7,8,UE2009
o00407-5625100340150.bu,o00407-5625100340150.bu,149,68,3,13,UE2009
o00407-5611100200014.bu,o00407-5611100200014.bu,194,101,5,6,UE2010
o00407-5705300010416.bu,o00407-5705300010416.bu,106,108,3,5,UE2020
o00407-5699500590143.bu,o00407-5699500590143.bu,121,131,5,11,UE2010
o00407-5625100540306.bu,o00407-5625100540306.bu,143,170,4,9,UE2010
o00407-5625100340912.bu,o00407-5625100340912.bu,159,93,6,17,UE2009
o00407-5627800030056.bu,o00407-5627800030056.bu,140,53,3,3,UE2020
o00407-5703700320368.bu,o00407-5703700320368.bu,190,104,7,4,UE2020
o00407-5611100200104.bu,o00407-5611100200104.bu,78,167,3,8,UE2010
o00407-5715000270152.bu,o00407-5715000270152.bu,47,113,3,5,UE2010
o00407-5610300120052.bu,o00407-5610300120052.bu,185,89,6,11,UE2013
o00407-5629400060249.bu,o00407-5629400060249.bu,137,93,1,5,UE2015
o00407-5625100540625.bu,o00407-5625100540625.bu,166,104,2,7,UE2010
o00407-5697900211015.bu,o00407-5697900211015.bu,58,135,3,5,UE2009
o00407-5705300010075.bu,o00407-5705300010075.bu,115,116,5,7,UE2020
o00407-5649900140104.bu,o00407-5649900140104.bu,90,116,5,20,UE2020
o00407-5631600270080.bu,o00407-5631600270080.bu,89,174,1,16,UE2010
o00407-5699500260048.bu,o00407-5699500260048.bu,145,143,10,13,UE2009
o00407-5667700050021.bu,o00407-5667700050021.bu,123,119,6,12,UE2015
o00407-5655300220050.bu,o00407-5655300220050.bu,140,113,4,10,UE2020
o00407-5616200160085.bu,o00407-5616200160085.bu,149,89,3,13,UE2015
o00407-5703700550459.bu,o00407-5703700550459.bu,112,130,6,11,UE2020
o00407-5629400060271.bu,o00407-5629400060271.bu,149,75,6,8,UE2015
o00407-5683900170113.bu,o00407-5683900170113.bu,121,78,4,3,UE2020
o00407-5715000270110.bu,o00407-5715000270110.bu,127,109,5,12,UE2010
o00407-5647200240051.bu,o00407-5647200240051.bu,157,81,2,7,UE2011
o00407-5703700320045.bu,o00407-5703700320045.bu,115,70,5,8,UE2020
o00407-5610300120061.bu,o00407-5610300120061.bu,169,88,9,8,UE2013
o00407-5625100340388.bu,o00407-5625100340388.bu,166,116,2,10,UE2009
o00407-5655300220067.bu,o00407-5655300220067.bu,174,89,7,11,UE2020
o00407-5641300330073.bu,o00407-5641300330073.bu,50,156,3,19,UE2015
o00407-5663400250576.bu,o00407-5663400250576.bu,145,37,1,3,UE2009
o00407-5663400250598.bu,o00407-5663400250598.bu,163,102,8,6,UE2009
o00407-5647200240274.bu,o00407-5647200240274.bu,188,93,3,7,UE2013
o00407-5629400060100.bu,o00407-5629400060100.bu,141,90,4,11,UE2015
o00407-5625100540358.bu,o00407-5625100540358.bu,125,126,2,10,UE2010
