boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-4123800320117.bu,o00407-4123800320117.bu,114,86,3,4,UE2020
o00407-4697300130126.bu,o00407-4697300130126.bu,206,78,2,11,UE2010
o00407-4079700170178.bu,o00407-4079700170178.bu,203,100,2,1,UE2009
o00407-4321401770265.bu,o00407-4321401770265.bu,5,65,1,3,UE2010
o00407-5091102860387.bu,o00407-5091102860387.bu,149,135,5,11,UE2020
o00407-4965402820188.bu,o00407-4965402820188.bu,62,130,3,4,UE2015
o00407-5403802990106.bu,o00407-5403802990106.bu,182,85,3,3,UE2015
o00407-4371000930027.bu,o00407-4371000930027.bu,110,86,4,5,UE2020
o00407-4215301360007.bu,o00407-4215301360007.bu,70,107,1,3,UE2015
o00407-4533001150084.bu,o00407-4533001150084.bu,72,231,0,3,UE2010
o00407-4115703090025.bu,o00407-4115703090025.bu,83,84,0,3,UE2015
o00407-4647701340136.bu,o00407-4647701340136.bu,193,113,5,6,UE2010
o00407-4575602750018.bu,o00407-4575602750018.bu,101,142,3,8,UE2010
o00407-4865801840352.bu,o00407-4865801840352.bu,119,117,3,8,UE2015
o00407-5221302520240.bu,o00407-5221302520240.bu,72,174,4,5,UE2009
o00407-4917400880195.bu,o00407-4917400880195.bu,79,96,2,3,UE2020
o00407-5241802540081.bu,o00407-5241802540081.bu,133,74,3,5,UE2010
o00407-4133503160355.bu,o00407-4133503160355.bu,155,122,7,12,UE2020
o00407-5367802670100.bu,o00407-5367802670100.bu,85,90,1,3,UE2011
o00407-4703101480132.bu,o00407-4703101480132.bu,21,121,1,5,UE2010
o00407-4675201400060.bu,o00407-4675201400060.bu,169,99,4,6,UE2020
o00407-4583701590109.bu,o00407-4583701590109.bu,43,47,2,0,UE2015
o00407-4921202000154.bu,o00407-4921202000154.bu,125,158,4,10,UE2020
o00407-5299002320084.bu,o00407-5299002320084.bu,123,122,10,10,UE2020
o00407-4047902620083.bu,o00407-4047902620083.bu,37,167,2,11,UE2013
o00407-4031200080011.bu,o00407-4031200080011.bu,145,101,2,5,UE2010
o00407-4585301280030.bu,o00407-4585301280030.bu,134,121,2,6,UE2011
o00407-4123800380223.bu,o00407-4123800380223.bu,147,112,2,8,UE2020
o00407-4026603480043.bu,o00407-4026603480043.bu,109,103,4,9,UE2009
