boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0600900010048.bu,o00407-0600900010048.bu,95,79,1,1,UE2015
o00407-0605000020043.bu,o00407-0605000020043.bu,105,88,3,6,UE2020
o00407-0609200040068.bu,o00407-0609200040068.bu,64,90,0,4,UE2015
o00407-0605000020012.bu,o00407-0605000020012.bu,97,88,4,2,UE2020
o00407-0605000020651.bu,o00407-0605000020651.bu,150,98,2,10,UE2020
o00407-0607600050081.bu,o00407-0607600050081.bu,103,146,4,2,UE2011
o00407-0605000100243.bu,o00407-0605000100243.bu,75,153,3,9,UE2010
o00407-0605000100413.bu,o00407-0605000100413.bu,45,70,0,2,UE2010
o00407-0605000100331.bu,o00407-0605000100331.bu,146,108,2,0,UE2010
o00407-0605000020532.bu,o00407-0605000020532.bu,139,103,4,5,UE2020
o00407-0605000020375.bu,o00407-0605000020375.bu,131,134,1,5,UE2020
o00407-0605000020680.bu,o00407-0605000020680.bu,131,102,3,7,UE2020
o00407-0605000020225.bu,o00407-0605000020225.bu,161,152,0,5,UE2020
o00407-0605000020436.bu,o00407-0605000020436.bu,168,119,5,5,UE2020
o00407-0605000100368.bu,o00407-0605000100368.bu,58,169,2,3,UE2010
o00407-0605000100141.bu,o00407-0605000100141.bu,176,141,4,9,UE2020
o00407-0605000020408.bu,o00407-0605000020408.bu,176,91,1,3,UE2020
o00407-0613000070082.bu,o00407-0613000070082.bu,70,115,1,2,UE2013
o00407-0606800100111.bu,o00407-0606800100111.bu,88,129,4,0,UE2010
o00407-0613000070041.bu,o00407-0613000070041.bu,23,164,0,1,UE2013
o00407-0607600050068.bu,o00407-0607600050068.bu,37,154,0,0,UE2011
o00407-0615700060007.bu,o00407-0615700060007.bu,145,167,4,5,UE2009
o00407-0603300010062.bu,o00407-0603300010062.bu,130,83,3,4,UE2015
o00407-0605000100166.bu,o00407-0605000100166.bu,161,136,6,8,UE2020
o00407-0613000070058.bu,o00407-0613000070058.bu,135,133,3,4,UE2013
o00407-0605000020706.bu,o00407-0605000020706.bu,131,110,2,3,UE2020
o00407-0605000100173.bu,o00407-0605000100173.bu,153,125,3,2,UE2010
o00407-0615700060035.bu,o00407-0615700060035.bu,129,118,4,4,UE2009
o00407-0605000100142.bu,o00407-0605000100142.bu,141,120,4,3,UE2009
o00407-0605000100292.bu,o00407-0605000100292.bu,171,122,5,0,UE2020
o00407-0615700060140.bu,o00407-0615700060140.bu,186,113,2,9,UE2009
o00407-0605000100085.bu,o00407-0605000100085.bu,162,124,4,3,UE2010
o00407-0615700060252.bu,o00407-0615700060252.bu,124,83,4,2,UE2009
