boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-9439000950095.bu,o00407-9439000950095.bu,146,94,1,6,UE2013
o00407-9315700340124.bu,o00407-9315700340124.bu,197,86,1,6,UE2011
o00407-9221500030555.bu,o00407-9221500030555.bu,134,47,2,3,UE2020
o00407-9308400500132.bu,o00407-9308400500132.bu,143,120,1,3,UE2015
o00407-9625300490171.bu,o00407-9625300490171.bu,184,119,2,5,UE2009
o00407-9334300280112.bu,o00407-9334300280112.bu,156,149,4,3,UE2020
o00407-9357200630025.bu,o00407-9357200630025.bu,118,62,3,4,UE2011
o00407-9373401340455.bu,o00407-9373401340455.bu,176,106,2,4,UE2020
o00407-9221500030647.bu,o00407-9221500030647.bu,139,51,4,7,UE2020
o00407-9445500190544.bu,o00407-9445500190544.bu,151,137,3,3,UE2010
o00407-9210000200048.bu,o00407-9210000200048.bu,131,94,1,4,UE2011
o00407-9221500030441.bu,o00407-9221500030441.bu,148,40,2,1,UE2020
o00407-9445500190201.bu,o00407-9445500190201.bu,162,81,5,11,UE2010
o00407-9221501440044.bu,o00407-9221501440044.bu,205,75,2,6,UE2020
o00407-9433100180179.bu,o00407-9433100180179.bu,147,46,2,2,UE2009
o00407-9226600460079.bu,o00407-9226600460079.bu,72,120,3,11,UE2010
o00407-9303301010035.bu,o00407-9303301010035.bu,108,115,4,5,UE2009
o00407-9421801060070.bu,o00407-9421801060070.bu,115,114,1,3,UE2010
o00407-9489700410033.bu,o00407-9489700410033.bu,130,99,1,9,UE2015
o00407-9571000300090.bu,o00407-9571000300090.bu,150,46,2,1,UE2009
o00407-9221501440197.bu,o00407-9221501440197.bu,220,44,3,8,UE2020
o00407-9270300400156.bu,o00407-9270300400156.bu,147,151,5,4,UE2020
o00407-9373400010463.bu,o00407-9373400010463.bu,98,79,1,1,UE2020
o00407-9445500190399.bu,o00407-9445500190399.bu,198,115,7,7,UE2010
o00407-9289400070017.bu,o00407-9289400070017.bu,176,72,7,3,UE2010
o00407-9329700850109.bu,o00407-9329700850109.bu,156,113,0,1,UE2015
o00407-9373401460228.bu,o00407-9373401460228.bu,196,100,6,8,UE2020
o00407-9599000800016.bu,o00407-9599000800016.bu,201,66,1,4,UE2011
o00407-9545100270016.bu,o00407-9545100270016.bu,187,85,2,8,UE2010
o00407-9373401470504.bu,o00407-9373401470504.bu,137,76,5,5,UE2020
o00407-9563000460064.bu,o00407-9563000460064.bu,90,155,3,8,UE2010
o00407-9431500170024.bu,o00407-9431500170024.bu,126,70,2,8,UE2015
o00407-9373401360535.bu,o00407-9373401360535.bu,200,99,6,8,UE2020
o00407-9543500260021.bu,o00407-9543500260021.bu,146,153,2,4,UE2015
o00407-9395500130054.bu,o00407-9395500130054.bu,145,137,6,6,UE2015
o00407-9457900660077.bu,o00407-9457900660077.bu,144,138,4,3,UE2009
o00407-9304100250099.bu,o00407-9304100250099.bu,102,137,1,7,UE2010
o00407-9487000540062.bu,o00407-9487000540062.bu,139,129,6,6,UE2011
