boletim,boletim,bolso,lula,branco,nulo,tipo_urna
o00407-0441300120406.bu,o00407-0441300120406.bu,20,138,0,1,UE2009
o00407-0456100240065.bu,o00407-0456100240065.bu,126,105,2,2,UE2009
o00407-0535500200534.bu,o00407-0535500200534.bu,180,135,4,3,UE2011
o00407-0567300590181.bu,o00407-0567300590181.bu,185,50,0,2,UE2010
o00407-0477401050053.bu,o00407-0477401050053.bu,117,260,1,5,UE2009
o00407-0439100020011.bu,o00407-0439100020011.bu,17,149,1,0,UE2015
o00407-0447200500290.bu,o00407-0447200500290.bu,192,138,6,6,UE2020
o00407-0505300380198.bu,o00407-0505300380198.bu,28,96,0,1,UE2015
o00407-0435900150150.bu,o00407-0435900150150.bu,87,125,1,4,UE2015
o00407-0425100650073.bu,o00407-0425100650073.bu,84,169,2,1,UE2020
o00407-0415400430033.bu,o00407-0415400430033.bu,170,160,3,9,UE2020
o00407-0411100180060.bu,o00407-0411100180060.bu,74,52,1,0,UE2013
o00407-0443000250023.bu,o00407-0443000250023.bu,97,121,5,4,UE2020
o00407-0457000090010.bu,o00407-0457000090010.bu,57,222,3,5,UE2020
o00407-0410300490202.bu,o00407-0410300490202.bu,75,115,1,4,UE2010
o00407-0471500340612.bu,o00407-0471500340612.bu,76,20,1,1,UE2015
o00407-0427800300600.bu,o00407-0427800300600.bu,206,176,5,8,UE2020
o00407-0425100650057.bu,o00407-0425100650057.bu,90,197,3,4,UE2020
o00407-0427800010403.bu,o00407-0427800010403.bu,167,171,2,7,UE2020
o00407-0427800010612.bu,o00407-0427800010612.bu,102,163,3,4,UE2020
o00407-0465000060108.bu,o00407-0465000060108.bu,87,207,2,2,UE2010
o00407-0523100640016.bu,o00407-0523100640016.bu,105,172,5,2,UE2020
o00407-0486300200793.bu,o00407-0486300200793.bu,150,161,7,4,UE2009
o00407-0483901000205.bu,o00407-0483901000205.bu,102,117,2,1,UE2010
o00407-0575400790141.bu,o00407-0575400790141.bu,95,54,0,3,UE2015
o00407-0535500200524.bu,o00407-0535500200524.bu,190,104,6,9,UE2011
o00407-0505300380120.bu,o00407-0505300380120.bu,2,160,1,4,UE2015
o00407-0567300590014.bu,o00407-0567300590014.bu,222,50,1,1,UE2010
o00407-0469300110510.bu,o00407-0469300110510.bu,41,234,5,10,UE2020
o00407-0587800810033.bu,o00407-0587800810033.bu,73,158,4,5,UE2020
o00407-0517700820042.bu,o00407-0517700820042.bu,127,202,0,3,UE2015
o00407-0437500870044.bu,o00407-0437500870044.bu,28,57,1,1,UE2020
